ATA,yyyy,mm,dd
ATA-75,2013,03,06
ATA-75,2012,11,25
ATA-73,2017,06,15
ATA-73,2015,07,13
ATA-74,2014,12,01
ATA-74,2013,05,12
ATA-77,2018,01,21
ATA-77,2015,02,04
ATA-35,2017,03,28
ATA-70,2015,08,14
ATA-71,2017,11,09
ATA-72,2014,05,05
ATA-76,2015,10,10
