ATA,yyyy,mm,dd
ATA-27,2015,05,20
ATA-27,2015,01,21
ATA-27,2015,11,03
ATA-36,2014,06,26
ATA-36,2015,12,21
ATA-36,2014,08,18
ATA-36,2018,02,05
ATA-36,2017,07,15
ATA-36,2017,07,05
ATA-36,2017,06,25
ATA-36,2017,02,21
ATA-36,2017,05,14
ATA-36,2016,03,07
ATA-36,2016,04,16
ATA-36,2012,06,23
ATA-36,2015,08,19
ATA-36,2016,08,23
ATA-36,2014,07,31
ATA-36,2012,09,08
ATA-49,2014,04,23
ATA-49,2014,11,03
ATA-49,2017,09,21
ATA-49,2018,03,11
ATA-49,2018,03,05
ATA-49,2018,02,09
ATA-49,2016,12,18
ATA-49,2016,08,30
ATA-49,2015,11,17
ATA-49,2014,04,27
ATA-49,2015,01,19
ATA-49,2013,04,20
ATA-49,2013,05,16
ATA-49,2013,08,11
ATA-49,2012,07,12
ATA-49,2013,03,17
ATA-22,2016,04,10
ATA-22,2016,03,31
ATA-22,2016,12,08
ATA-22,2017,03,16
ATA-22,2017,07,23
ATA-22,2017,03,02
ATA-22,2012,03,29
ATA-22,2013,06,17
ATA-22,2015,09,21
ATA-22,2016,10,12
ATA-22,2014,08,03
ATA-22,2012,05,31
ATA-22,2012,01,21
ATA-22,2014,06,07
ATA-22,2014,03,19
ATA-30,2016,06,01
ATA-30,2018,02,21
ATA-30,2017,10,28
ATA-30,2018,01,23
ATA-30,2012,04,10
ATA-30,2014,03,08
ATA-30,2013,04,17
ATA-30,2013,05,04
ATA-30,2012,11,16
ATA-30,2011,10,22
ATA-30,2012,07,04
ATA-30,2011,12,04
ATA-30,2012,02,21
ATA-30,2012,03,08
ATA-30,2014,03,30
ATA-28,2014,04,23
ATA-28,2016,01,20
ATA-28,2018,01,18
ATA-28,2017,01,10
ATA-28,2013,12,10
ATA-28,2014,02,26
ATA-28,2012,11,26
ATA-28,2014,04,04
ATA-28,2012,03,24
ATA-28,2014,09,14
ATA-28,2013,06,29
ATA-28,2013,02,06
ATA-28,2013,02,19
ATA-26,2015,11,15
ATA-26,2017,06,17
ATA-26,2012,04,16
ATA-26,2012,11,16
ATA-26,2015,01,13
ATA-26,2012,01,18
ATA-26,2012,03,16
ATA-26,2012,02,21
ATA-52,2017,12,07
ATA-52,2015,01,09
ATA-52,2013,09,05
ATA-52,2014,01,23
ATA-52,2015,08,29
ATA-52,2013,04,28
ATA-52,2015,03,15
ATA-52,2012,05,24
ATA-79,2012,07,20
ATA-79,2012,03,14
ATA-79,2015,10,05
ATA-79,2017,12,12
ATA-79,2017,11,28
ATA-79,2015,11,26
ATA-79,2013,07,18
ATA-29,2012,08,15
ATA-29,2015,10,24
ATA-29,2018,02,21
ATA-29,2015,11,30
ATA-29,2015,12,11
ATA-29,2015,01,12
ATA-38,2014,03,31
ATA-38,2017,02,09
ATA-38,2014,03,13
ATA-38,2015,08,09
ATA-38,2012,11,08
ATA-38,2013,12,15
ATA-24,2016,03,31
ATA-24,2017,04,11
ATA-24,2016,12,02
ATA-24,2012,03,19
ATA-24,2012,05,09
ATA-31,2013,06,09
ATA-31,2014,08,18
ATA-31,2012,06,24
ATA-31,2014,12,24
ATA-31,2015,02,07
ATA-33,2015,08,30
ATA-33,2012,01,16
ATA-33,2013,08,16
ATA-33,2011,11,25
ATA-33,2013,07,11
ATA-25,2015,01,09
ATA-25,2012,03,13
ATA-25,2012,03,31
ATA-72,2012,05,06
ATA-72,2015,09,28
ATA-72,2012,05,28
ATA-35,2015,11,01
ATA-35,2016,05,05
ATA-73,2016,09,04
ATA-73,2018,03,13
ATA-74,2011,12,24
ATA-74,2016,01,22
ATA-75,2012,11,26
ATA-75,2015,12,12
ATA-12,2014,01,30
ATA-57,2016,09,06
ATA-77,2013,12,11
