ATA,yyyy,mm,dd
ATA-27,2014,03,02
ATA-27,2012,04,30
ATA-27,2014,09,27
ATA-27,2012,03,09
ATA-27,2015,06,06
ATA-27,2014,04,30
ATA-27,2014,03,31
ATA-27,2013,10,05
ATA-27,2013,12,14
ATA-27,2015,01,21
ATA-27,2013,04,07
ATA-27,2012,03,03
ATA-27,2014,01,13
ATA-27,2011,12,21
ATA-27,2011,10,28
ATA-27,2012,01,24
ATA-27,2012,02,02
ATA-27,2016,10,11
ATA-27,2012,12,06
ATA-27,2011,07,06
ATA-27,2012,02,02
ATA-27,2013,12,21
ATA-32,2013,09,27
ATA-32,2016,07,18
ATA-32,2015,12,27
ATA-32,2014,08,28
ATA-32,2015,01,06
ATA-32,2014,12,02
ATA-32,2012,03,01
ATA-32,2013,03,03
ATA-32,2013,03,26
ATA-32,2015,10,12
ATA-32,2011,07,09
ATA-32,2012,04,07
ATA-32,2013,01,27
ATA-32,2013,04,02
ATA-32,2014,04,13
ATA-32,2012,05,30
ATA-32,2012,06,02
ATA-32,2012,07,13
ATA-32,2014,03,27
ATA-32,2015,03,24
ATA-32,2016,09,22
ATA-32,2015,08,23
ATA-32,2012,03,21
ATA-32,2012,01,05
ATA-22,2013,09,29
ATA-22,2012,08,10
ATA-22,2016,04,26
ATA-22,2017,12,20
ATA-22,2016,04,26
ATA-22,2016,04,21
ATA-22,2015,09,07
ATA-22,2013,11,04
ATA-22,2015,05,16
ATA-22,2013,11,29
ATA-22,2014,05,13
ATA-22,2016,06,25
ATA-22,2016,02,24
ATA-22,2013,11,20
ATA-22,2012,07,24
ATA-22,2012,03,17
ATA-22,2012,05,31
ATA-22,2014,05,30
ATA-49,2013,09,02
ATA-49,2018,01,18
ATA-49,2017,02,10
ATA-49,2016,05,19
ATA-49,2014,05,10
ATA-49,2015,01,17
ATA-49,2015,12,10
ATA-49,2016,10,22
ATA-49,2016,05,12
ATA-49,2013,09,05
ATA-49,2012,03,19
ATA-49,2011,11,30
ATA-49,2012,07,05
ATA-49,2014,01,24
ATA-49,2011,10,18
ATA-49,2013,09,21
ATA-49,2013,12,23
ATA-28,2015,07,24
ATA-28,2012,05,23
ATA-28,2012,07,14
ATA-28,2015,08,13
ATA-28,2015,03,09
ATA-28,2015,08,20
ATA-28,2014,11,02
ATA-28,2016,07,04
ATA-28,2017,01,08
ATA-28,2017,10,10
ATA-28,2015,09,02
ATA-28,2012,06,04
ATA-28,2012,06,04
ATA-28,2012,08,22
ATA-28,2013,10,22
ATA-28,2014,02,09
ATA-36,2015,11,18
ATA-36,2017,07,17
ATA-36,2017,02,28
ATA-36,2016,05,21
ATA-36,2016,04,25
ATA-36,2017,04,01
ATA-36,2017,10,24
ATA-36,2017,12,19
ATA-36,2017,11,05
ATA-36,2014,03,13
ATA-36,2014,07,30
ATA-36,2014,07,14
ATA-36,2015,08,31
ATA-36,2012,05,07
ATA-23,2014,08,01
ATA-23,2015,05,15
ATA-23,2014,10,27
ATA-23,2017,05,17
ATA-23,2017,08,01
ATA-23,2012,02,25
ATA-23,2015,06,23
ATA-23,2013,03,26
ATA-23,2011,07,16
ATA-23,2011,12,08
ATA-23,2011,09,05
ATA-23,2013,05,28
ATA-23,2013,06,12
ATA-35,2013,06,13
ATA-35,2011,08,15
ATA-35,2015,05,14
ATA-35,2016,04,17
ATA-35,2015,12,23
ATA-35,2015,05,17
ATA-35,2014,10,24
ATA-35,2015,01,31
ATA-35,2011,07,09
ATA-35,2014,01,23
ATA-35,2014,11,22
ATA-29,2014,04,19
ATA-29,2016,03,11
ATA-29,2015,12,29
ATA-29,2014,10,31
ATA-29,2012,10,26
ATA-29,2014,03,02
ATA-29,2014,05,18
ATA-24,2012,10,12
ATA-24,2016,03,19
ATA-24,2017,05,14
ATA-24,2012,10,12
ATA-24,2016,06,26
ATA-24,2016,09,12
ATA-30,2014,11,18
ATA-30,2017,01,04
ATA-30,2016,12,18
ATA-30,2015,06,17
ATA-30,2014,04,15
ATA-30,2013,04,09
ATA-26,2015,11,10
ATA-26,2018,01,27
ATA-26,2017,07,29
ATA-26,2013,03,05
ATA-26,2011,08,03
ATA-31,2011,07,16
ATA-31,2012,07,17
ATA-31,2012,10,15
ATA-31,2012,12,12
ATA-31,2014,03,06
ATA-33,2011,09,23
ATA-33,2015,01,22
ATA-33,2012,02,11
ATA-33,2011,07,09
ATA-33,2011,12,19
ATA-38,2016,09,27
ATA-38,2012,03,17
ATA-38,2012,03,18
ATA-38,2013,06,28
ATA-38,2013,09,06
ATA-75,2017,04,17
ATA-75,2014,09,06
ATA-75,2013,10,09
ATA-75,2013,06,24
ATA-75,2013,05,28
ATA-77,2016,04,21
ATA-77,2012,07,25
ATA-77,2014,07,17
ATA-77,2011,08,05
ATA-77,2014,04,12
ATA-79,2016,04,07
ATA-79,2017,08,11
ATA-79,2013,07,22
ATA-79,2015,07,01
ATA-79,2015,09,16
ATA-25,2014,04,04
ATA-25,2014,02,08
ATA-25,2011,10,31
ATA-25,2011,08,13
ATA-52,2014,12,06
ATA-52,2012,12,05
ATA-52,2012,01,11
ATA-52,2014,10,02
ATA-46,2015,01,13
ATA-46,2011,07,27
ATA-46,2011,07,27
ATA-72,2012,07,31
ATA-72,2017,04,14
ATA-72,2011,09,21
ATA-70,2012,05,08
ATA-70,2011,08,02
ATA-70,2013,10,25
ATA-73,2015,05,06
ATA-73,2015,10,23
ATA-80,2011,12,24
ATA-80,2014,02,16
ATA-12,2014,12,06
ATA-55,2011,08,02
ATA-78,2012,10,07
ATA-71,2014,10,24
