ATA,yyyy,mm,dd
ATA-23,2013,07,12
ATA-23,2013,10,16
ATA-23,2016,02,10
ATA-23,2017,12,07
ATA-23,2018,02,08
ATA-23,2016,02,14
ATA-23,2015,02,25
ATA-23,2013,06,25
ATA-23,2014,02,11
ATA-23,2013,12,02
ATA-23,2013,11,22
ATA-23,2015,06,17
ATA-23,2013,06,15
ATA-23,2014,02,19
ATA-23,2017,07,22
ATA-23,2015,06,12
ATA-23,2013,11,11
ATA-34,2016,02,07
ATA-34,2017,08,26
ATA-34,2018,02,25
ATA-34,2017,07,27
ATA-34,2017,10,22
ATA-34,2017,05,04
ATA-34,2015,11,20
ATA-34,2013,04,24
ATA-34,2013,11,18
ATA-34,2013,06,05
ATA-34,2013,03,09
ATA-34,2015,03,25
ATA-34,2014,03,26
ATA-34,2014,01,20
ATA-34,2015,02,16
ATA-34,2015,08,10
ATA-34,2014,01,23
ATA-22,2013,09,08
ATA-22,2017,12,30
ATA-22,2017,03,10
ATA-22,2016,04,25
ATA-22,2015,10,29
ATA-22,2016,01,28
ATA-22,2014,08,21
ATA-22,2014,11,20
ATA-22,2013,08,23
ATA-22,2014,02,25
ATA-22,2014,01,13
ATA-22,2013,04,15
ATA-22,2013,11,20
ATA-22,2014,08,24
ATA-49,2012,11,27
ATA-49,2014,08,22
ATA-49,2013,01,07
ATA-49,2014,02,07
ATA-49,2014,03,22
ATA-49,2013,08,19
ATA-49,2018,03,08
ATA-49,2017,02,21
ATA-49,2016,12,11
ATA-49,2016,05,18
ATA-49,2016,04,02
ATA-49,2016,01,12
ATA-49,2013,10,10
ATA-28,2015,07,30
ATA-28,2016,04,04
ATA-28,2016,07,13
ATA-28,2015,12,24
ATA-28,2015,09,05
ATA-28,2014,01,16
ATA-28,2014,01,24
ATA-28,2013,02,15
ATA-28,2013,12,23
ATA-28,2015,05,06
ATA-24,2015,08,29
ATA-24,2017,08,01
ATA-24,2017,07,29
ATA-24,2017,07,29
ATA-24,2016,08,29
ATA-24,2015,03,29
ATA-26,2013,02,21
ATA-26,2016,11,10
ATA-26,2016,09,02
ATA-26,2013,02,21
ATA-26,2012,12,02
ATA-26,2015,01,02
ATA-31,2014,04,22
ATA-31,2013,03,14
ATA-31,2016,03,02
ATA-31,2014,07,10
ATA-31,2015,04,24
ATA-31,2016,10,26
ATA-38,2016,02,14
ATA-38,2016,01,17
ATA-38,2013,02,19
ATA-38,2012,12,22
ATA-47,2016,06,09
ATA-47,2017,02,24
ATA-47,2016,10,16
ATA-47,2014,12,21
ATA-76,2016,01,31
ATA-76,2017,01,03
ATA-76,2016,10,13
ATA-76,2015,11,09
ATA-29,2014,11,29
ATA-29,2013,10,09
ATA-29,2012,12,01
ATA-33,2015,02,20
ATA-33,2014,09,11
ATA-33,2013,03,12
ATA-35,2014,12,18
ATA-35,2017,06,08
ATA-35,2013,01,25
ATA-52,2015,02,24
ATA-52,2014,11,24
ATA-52,2013,02,11
ATA-75,2017,09,26
ATA-75,2015,08,29
ATA-75,2014,02,14
ATA-79,2015,01,09
ATA-79,2015,04,03
ATA-79,2012,12,11
ATA-71,2017,12,07
ATA-71,2014,02,19
ATA-73,2017,09,13
ATA-73,2018,03,05
ATA-74,2015,10,25
ATA-74,2013,01,16
ATA-46,2014,05,09
ATA-77,2012,12,31
